name,RMSE,RMSE_clean,MAE,MedAE,within_0.05,bias,n,secs,cfg,f0,f1,f2,f3
v4_noharm_fair_l2_5,0.07628571694921134,0.06749289580819404,0.044852716729450216,0.028689727558107905,70.02215452783163,0.00098987641953259,7222,208.7,"{""drop_features"": [""harm""], ""params"": {""learning_rate"": 0.02, ""objective"": ""fair"", ""lambda_l2"": 5.0}, ""n_estimators"": 2500}",0.06434737744690733,0.0686863986272744,0.08810572338771913,0.08259525115774041
r15_lr02_fair,0.07543685672068985,0.06649004408313616,0.04421211968808415,0.028495019734859073,70.96372196067571,0.0005258671380425951,7222,254.7,"{""params"": {""learning_rate"": 0.02, ""objective"": ""fair""}, ""n_estimators"": 2500}",0.06329471168697764,0.06741796776476064,0.08775173091938855,0.08165054619046302
r15_lr02,0.07541084210715468,0.06640708199578944,0.04419402611781548,0.028360878779099305,70.76986984214899,0.00048122422284536557,7222,245.6,"{""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.0628588567546991,0.06763881802608897,0.08761266180839773,0.08194146434556912
r15_noharm_fair,0.07543659843240696,0.06643238613221604,0.04410560704144421,0.02804877004373464,70.57601772362226,0.0006189342920905593,7222,1430.1,"{""drop_features"": [""harm""], ""params"": {""learning_rate"": 0.02, ""objective"": ""fair""}, ""n_estimators"": 2500}",0.06310959490676814,0.06785735268022376,0.08777265427857739,0.0813334122603678
r15_baseline,0.0756849594453364,0.06675269445293258,0.0445143361486082,0.028653950800069286,70.25754638604265,0.0007829234239286847,7222,125.5,{},0.06297542116512478,0.06813091580889448,0.08792202047122433,0.08210072189836667
r25_lr02,0.0749000462909535,0.06582166365867877,0.04376705441747626,0.028026011384251884,71.22680697867627,0.0007757721622747916,7222,1334.6,"{""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.06202606500775397,0.06690276893299806,0.08747198623873206,0.0814334737988471
r25_lr02_2f,0.06449191278795725,0.06449191278795725,0.04152077227529058,0.02708314691060612,72.8612792840221,0.0005568620432106299,3799,1225.0,"{""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.06202606500775397,0.06690276893299806
r40_lr02_2f,0.06376553413710954,0.06376553413710954,0.04092064383540911,0.026651882857716136,73.80889707817848,1.4560714350152994e-05,3799,228.8,"{""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.06147359688768645,0.06601135945276745
r40_lr02,0.07452395556510594,0.06512080607017881,0.043214913256661415,0.027828966686567883,71.64220437551924,8.63958509631499e-05,7222,474.4,"{""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.06147359688768645,0.06601135945276745,0.08703318417840707,0.08185409062960781
r40_lr02_3seed,0.06368445127519999,0.06368445127519999,0.040935056107416844,0.02659044215531514,73.88786522769149,-0.0002911907995896112,3799,690.5,"{""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.0613623427249607,0.06595869032069059
